"taxonomy1","taxonomy2","score"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Commercial Printing","Commercial Printing","1"
"Libraries","Libraries","1"
"Commercial Printing","Commercial Printing","1"
"Hotels","Hotels","1"
"Optometrists","Optometrists","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Hotels","Hotels","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Optometrists","Optometrists","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Notaries","Notaries","1"
"Chiropractors","Chiropractors","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Travel Agencies","Travel Agencies","1"
"Notaries","Notaries","1"
"Chiropractors","Chiropractors","1"
"Optometrists","Optometrists","1"
"Optometrists","Optometrists","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Limousines","Limousines","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Notaries","Notaries","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Hotels","Hotels","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Chiropractors","Chiropractors","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Notaries","Notaries","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Optometrists","Optometrists","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
